Código;Família;Subtipo;Descrição;Especialidade;Conc. JJ Ref 1;Conc. JJ Ref 2;Conc. JJ Ref 3;Conc. JJ Ref 4;Diâmetro;Comprimento Fio;Descrição completa agulha;Tipo;Cod. Agulha;Curv;Tamanho Agulha;Env / Cxa;Observação ;RMS;Descrição para Licitação;Composto;NomeConcorrente;codigo_bioline
CS15020E-;PLAIN GUT;GUT;PLAIN GUT 2-0 1.5M FIG.;Ligadura;CS104T;CS114T;S103SH;;2-0;150 cm;;0;;-;0;24;Encer. Prod. Dez. 24;80052020034;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 150 cm de comprimento, sem agulha. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020034 Código/modelo:CS15020E- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS20SA150
CS15030E-;PLAIN GUT;GUT;PLAIN GUT 3-0 1.5M FIG.;Ligadura;CS103T;;S102SH;;3-0;150 cm;;0;;-;0;24;Encer. Prod. Dez. 24;80052020034;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 3-0 com 150 cm de comprimento, sem agulha. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020034 Código/modelo:CS15030E- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS30SA150
CS15101-;PLAIN GUT;GUT;PLAIN GUT 1 75CM CC30;Aparelho Digestivo;G315T;;;PC107X;1;75 cm;3/8 Circ. Cilíndrica / Taper Point - 3,0 cm;Círculo  Cilíndrico;CC30;3/8;3,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 1 com 75 cm de comprimento, com agulha CC30 de curvatura 3/8 Círculo  Cilíndrico Corpo estriado 3,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS15101- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS1CR30G
CS15110-;PLAIN GUT;GUT;PLAIN GUT 0 75CM CC30;Aparelho Digestivo;G314T;;;PC101X;0;75 cm;3/8 Circ. Cilíndrica / Taper Point - 3,0 cm;Círculo  Cilíndrico;CC30;3/8;3,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 0 com 75 cm de comprimento, com agulha CC30 de curvatura 3/8 Círculo  Cilíndrico Corpo estriado 3,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS15110- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS0CR30G
CS15120-;PLAIN GUT;GUT;PLAIN GUT 2-0 75CM CC30;Aparelho Digestivo;G313T;;;PC112X;2-0;75 cm;3/8 Circ. Cilíndrica / Taper Point - 3,0 cm;Círculo  Cilíndrico;CC30;3/8;3,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 75 cm de comprimento, com agulha CC30 de curvatura 3/8 Círculo  Cilíndrico Corpo estriado 3,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS15120- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS20CR30G
CS15130-;PLAIN GUT;GUT;PLAIN GUT 3-0 75CM CC30;Aparelho Digestivo;G312T;;;PC120X;3-0;75 cm;3/8 Circ. Cilíndrica / Taper Point - 3,0 cm;Círculo  Cilíndrico;CC30;3/8;3,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha CC30 de curvatura 3/8 Círculo  Cilíndrico Corpo estriado 3,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS15130- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS30CR30G
CS22140-;PLAIN GUT;GUT;PLAIN GUT 4-0 75CM MC15;Urologia;U207T;;;PC121X;4-0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 1,5 cm;Círculo  Cilíndrico;MC15;1/2;1,5cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 4-0 com 75 cm de comprimento, com agulha MC15 de curvatura 1/2 Círculo  Cilíndrico 1,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS22140- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS40MR15
CS22150-;PLAIN GUT;GUT;PLAIN GUT 5-0 75CM MC15;Urologia;U208T;;;PC124X;5-0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 1,5 cm;Círculo  Cilíndrico;MC15;1/2;1,5cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 5-0 com 75 cm de comprimento, com agulha MC15 de curvatura 1/2 Círculo  Cilíndrico 1,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS22150- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS50MR15
CS23120-;PLAIN GUT;GUT;PLAIN GUT 2-0 75CM MC20;Aparelho Digestivo;;;;;2-0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 2,0 cm;Círculo  Cilíndrico;MC20;1/2;2,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 75 cm de comprimento, com agulha MC20 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 2,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS23120- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;
CS23130-;PLAIN GUT;GUT;PLAIN GUT 3-0 75CM MC20;Aparelho Digestivo;G318T;;;PC118X;3-0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 2,0 cm;Círculo  Cilíndrico;MC20;1/2;2,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha MC20 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 2,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS23130- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS30MR20G
CS23140-;PLAIN GUT;GUT;PLAIN GUT 4-0 75CM MC20;Aparelho Digestivo;G319T;;;PC122X;4-0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 2,0 cm;Círculo  Cilíndrico;MC20;1/2;2,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 4-0 com 75 cm de comprimento, com agulha MC20 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 2,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS23140- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS40MR20G
CS23150-;PLAIN GUT;GUT;PLAIN GUT 5-0 75CM MC20;Aparelho Digestivo;G320T;;;PC125X;5-0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 2,0 cm;Círculo  Cilíndrico;MC20;1/2;2,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 5-0 com 75 cm de comprimento, com agulha MC20 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 2,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS23150- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS50MR20G
CS24110-;PLAIN GUT;GUT;PLAIN GUT 0 75CM MC25;Aparelho Digestivo;G324T;;;PC100X;0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 2,5 cm;Círculo  Cilíndrico;MC25;1/2;2,5cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 0 com 75 cm de comprimento, com agulha MC25 de curvatura 1/2 Círculo  Cilíndrico  Corpo estriado2,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS24110- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;
CS24120-;PLAIN GUT;GUT;PLAIN GUT 2-0 75CM MC25;Aparelho Digestivo;G323T;;;PC111X;2-0;75 cm;1/2 Circ. Cilíndrica / Taper Point  - 2,5 cm;Círculo  Cilíndrico;MC25;1/2;2,5cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 75 cm de comprimento, com agulha MC25 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 2,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS24120- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS20MR25G
CS24130-;PLAIN GUT;GUT;PLAIN GUT 3-0 75CM MC25;Aparelho Digestivo;G322T;;;PC119X;3-0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 2,5 cm;Círculo  Cilíndrico;MC25;1/2;2,5cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha MC25 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 2,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS24130- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS30MR25G
CS25110-;PLAIN GUT;GUT;PLAIN GUT 0 75CM MC30;Aparelho Digestivo;G365T;;;PC102X;0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 3,0 cm;Círculo  Cilíndrico;MC30;1/2;3,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 0 com 75 cm de comprimento, com agulha MC30 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 3,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS25110- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS0MR30G
CS25120-;PLAIN GUT;GUT;PLAIN GUT 2-0 75CM MC30;Aparelho Digestivo;G364T;;;PC113X;2-0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 3,0 cm;Círculo  Cilíndrico;MC30;1/2;3,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 75 cm de comprimento, com agulha MC30 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 3,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS25120- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS20MR30G
CS25130-;PLAIN GUT;GUT;PLAIN GUT 3-0 75CM MC30;Aparelho Digestivo;G363T;;;;3-0;75 cm;1/2 Circ. Cilindrica  / Taper Point - 3,0 cm;Círculo  Cilíndrico;MC30;1/2;3,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha MC30 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 3,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS25130- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS30MR30G
CS25140-;PLAIN GUT;GUT;PLAIN GUT 4-0 75CM MC30;Aparelho Digestivo;G362T;;;PC123X;4-0;75 cm;1/2 Circ. Cilindrica / Taper Point - 3,0 cm;Círculo  Cilíndrico;MC30;1/2;3,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 4-0 com 75 cm de comprimento, com agulha MC30 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 3,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS25140- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS40MR30G
CS26120-;PLAIN GUT;GUT;PLAIN GUT 2-0 75CM MCR35;Fechamento Geral / Obstetrícia / Ginecologia;843T;;;PC114X;2-0;75 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 3,5 cm;Cilíndrica Robusta;MCR35;1/2;3,5cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 75 cm de comprimento, com agulha MCR35 de curvatura 1/2 Cilíndrica Robusta Corpo estriado 3,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS26120- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS20MR35R
CS27110-;PLAIN GUT;GUT;PLAIN GUT 0 75CM MCR40;Fechamento Geral / Obstetrícia / Ginecologia;854T;;;PC104X;0;75 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 4,0 cm;Cilíndrica Robusta;MCR40;1/2;4,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 0 com 75 cm de comprimento, com agulha MCR40 de curvatura 1/2 Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS27110- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS0MR40R
CS27120-;PLAIN GUT;GUT;PLAIN GUT 2-0 75CM MCR40;Fechamento Geral / Obstetrícia / Ginecologia;853T;;;PC115X;2-0;75 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 4,0 cm;Cilíndrica Robusta;MCR40;1/2;4,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 75 cm de comprimento, com agulha MCR40 de curvatura 1/2 Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS27120- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS20MR40R
CS29101-;PLAIN GUT;GUT;PLAIN GUT 1 90CM MCR50;Fechamento Geral / Obstetrícia / Ginecologia;1870T;;;PC109X;1;90 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 5,0 cm;Cilíndrica Robusta;MCR50;1/2;5,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 1 com 90 cm de comprimento, com agulha MCR50 de curvatura 1/2 Cilíndrica Robusta Corpo estriado 5,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS29101- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;
CS29110-;PLAIN GUT;GUT;PLAIN GUT 0 90CM MCR50;Fechamento Geral / Obstetrícia / Ginecologia;1871T;;;PC106X;0;90 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 5,0 cm;Cilíndrica Robusta;MCR50;1/2;5,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 0 com 90 cm de comprimento, com agulha MCR50 de curvatura 1/2 Cilíndrica Robusta Corpo estriado 5,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS29110- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS0MR50ER
CS29120-;PLAIN GUT;GUT;PLAIN GUT 2-0 90CM MCR50;Fechamento Geral / Obstetrícia / Ginecologia;1872T;;;PC117X;2-0;90 cm;1/2 Circ. Cilíndrica Robusta / Taper Point Heavy - 5,0 cm;Cilíndrica Robusta;MCR50;1/2;5,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 90 cm de comprimento, com agulha MCR50 de curvatura 1/2 Cilíndrica Robusta Corpo estriado 5,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS29120- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;
CS52150-;PLAIN GUT;GUT;PLAIN GUT 5-0 45CM MT15;Cuticular - Fechamento de Pele;BRFMZ015035;;;;5-0;45 cm;1/2 Circ. Triangular / Reverse Cutting - 1,5 cm;Círculo Triangular;MT15;1/2;1,5cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha MT15 de curvatura 1/2 Círculo Triangular 1,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS52150- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;
CS6560-;PLAIN GUT;GUT;PLAIN GUT 6-0 45CM 2XCE6.5;Oftalmologia;XY1735G;;1735G;;6-0;45 cm;3/8 Micro Spatula / Micro Espatulada - 6,5 mm - 250µ;Micro Espatulada - 250µ;2 x CE6,5;3/8;6,5mm;12;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 6-0 com 45 cm de comprimento, com agulha 2 x CE6,5 de curvatura 3/8Micro Espatulada - 250µ  de 6,5mm. Produto comercializado em caixa contendo12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS6560- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;
CS7950-;PLAIN GUT;GUT;PLAIN GUT 5-0 45CM 2XQE7.9;Oftalmologia;XY1772G;;1772G;;5-0;45 cm;1/4 Micro Spatula / Micro Espatulada - 7,9 mm - 350µ;Micro Espatulada - 330µ;2 x QE7,9;1/4;7,9mm;12;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha QE7,9 de curvatura 1/4 Micro Espatulada - 330µ 7,9mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS7950- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;
CS86110-;PLAIN GUT;GUT;PLAIN GUT 0 75CM MC35;Aparelho Digestivo;G344T;;;PC103X;0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 3,5 cm;Círculo  Cilíndrico;MC35;1/2;3,5cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 0 com 75 cm de comprimento, com agulha MC35 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 3,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS86110- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS0MR35G
CS86120-;PLAIN GUT;GUT;PLAIN GUT 2-0 75CM MC35;Aparelho Digestivo;G343T;;;;2-0;75 cm;1/2 Circ. Cilíndrica / Taper Point - 3,5 cm;Círculo  Cilíndrico;MC35;1/2;3,5cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 75 cm de comprimento, com agulha MC35 de curvatura 1/2 Círculo  Cilíndrico Corpo estriado 3,5cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS86120- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS20MR35G
CS87110-;PLAIN GUT;GUT;PLAIN GUT 0 1.5M MCR40 LAC.;Fechamento Geral / Obstetrícia / Ginecologia;1854T;;;PC105X;0;1,5m looped / laçado;1/2 Circ. Cilíndrica - Robusta / Taper Point Heavy - 4,0 cm;Cilíndrica Robusta;MCR40;1/2;4,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut Laçado composto por Catgut Simples torcido e polido, de diâmetro USP 0 com 150 cm de comprimento, com agulha MCR40 de curvatura 1/2 Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS87110- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS0MR40L
CS87120-;PLAIN GUT;GUT;PLAIN GUT 2-0 1.5M MCR40 LAC.;Fechamento Geral / Obstetrícia / Ginecologia;1853T;;;PC116X;2-0;1,5m looped / laçado;1/2 Circ. Cilíndrica - Robusta / Taper Point Heavy - 4,0 cm;Cilíndrica Robusta;MCR40;1/2;4,0cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut Laçado composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 150 cm de comprimento, com agulha MCR40 de curvatura 1/2 Cilíndrica Robusta Corpo estriado 4,0cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CS87120- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS20MR40L
CSN12120V-;PLAIN GUT;GUT;PLAIN GUT 2-0 75CM CC17;Amigdalectomia;A2414T;;;PC110X;2-0;75 cm;3/8 Circ.Cilindrica  / Taper Point - 1,7 cm;Círculo  Cilíndrico;CC17;3/8;1,7cm;24;Encer. Prod. Dez. 24;80052020058;Fio de sutura cirúrgica Plain Gut composto por Catgut Simples torcido e polido, de diâmetro USP 2-0 com 75 cm de comprimento, com agulha CC17 de curvatura 3/8 Círculo  Cilíndrico 1,7cm. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020058 Código/modelo:CSN12120V- Fabricante: Polysuture. Origem: Nacional.;Catgut simples;Catgut simples;CS20CR20
-118070;POLYGLACTIN 910;SAS;POLYGLACTIN VIOL. 7-0 45CM CC10;Urologia;J300H;;;;7-0;45 cm;3/8 Circ. Cilíndrica / Taper Point - 1,0cm;Círculo  Cilíndrico;CC10;3/8;1,0cm;36;;80052020050;Fio de sutura cirúrgica Polyglactin 910 violeta composto por Poliglactina 910 Multifilamentar com cobertura de Poliglactina 370 e Estearato de cálcio, de diâmetro USP 7-0 com 45 cm de comprimento, com agulha CC10 de curvatura 3/8 Círculo  Cilíndrico 1,0cm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020050 Código/modelo:118070- Fabricante: Polysuture. Origem: Nacional.;Poliglactina 910;Vicryl;
-158000;POLYGLACTIN 910;SAS;POLYGLACTIN VIOL. 0 70CM CC30;Aparelho Digestivo;J408H;VCP408H;XYVCP408H;PG105X;0;70 cm;3/8 Circ. Cilíndrica / Taper Point - 3,0cm;Círculo Cilíndrica - Corpo Estriado;CC30;3/8;3,0cm;36;;80052020050;Fio de sutura cirúrgica Polyglactin 910 violeta composto por Poliglactina 910 Multifilamentar com cobertura de Poliglactina 370 e Estearato de cálcio, de diâmetro USP 0 com 70 cm de comprimento, com agulha CC30 de curvatura 3/8 Círculo Cilíndrica - Corpo Estriado 3,0cm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020050 Código/modelo:158000- Fabricante: Polysuture. Origem: Nacional.;Poliglactina 910;Vicryl;PGLA0CR30G
-158020;POLYGLACTIN 910;SAS;POLYGLACTIN VIOL. 2-0 70CM CC30;Aparelho Digestivo;J407H;VCP407H;XYVCP407H;PG126X;2-0;70 cm;3/8 Circ. Cilíndrica / Taper Point - 3,0cm;Círculo Cilíndrica - Corpo Estriado;CC30;3/8;3,0cm;36;;80052020050;Fio de sutura cirúrgica Polyglactin 910 violeta composto por Poliglactina 910 Multifilamentar com cobertura de Poliglactina 370 e Estearato de cálcio, de diâmetro USP 2-0 com 70 cm de comprimento, com agulha CC30 de curvatura 3/8 Círculo Cilíndrica - Corpo Estriado 3,0cm*. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020050 Código/modelo:158020- Fabricante: Polysuture. Origem: Nacional.;Poliglactina 910;Vicryl;PGLA20CR30G
-158030;POLYGLACTIN 910;SAS;POLYGLACTIN VIOL. 3-0 70CM CC30;Aparelho Digestivo;J406H;VCP406H;;PG139X;3-0;70 cm;3/8 Circ. Cilíndrica / Taper Point - 3,0cm;Círculo Cilíndrica - Corpo Estriado;CC30;3/8;3,0cm;36;;80052020050;Fio de sutura cirúrgica Polyglactin 910 violeta composto por Poliglactina 910 Multifilamentar com cobertura de Poliglactina 370 e Estearato de cálcio, de diâmetro USP 3-0 com 70 cm de comprimento, com agulha CC30 de curvatura 3/8 Círculo Cilíndrica - Corpo Estriado 3,0cm*. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020050 Código/modelo:158030- Fabricante: Polysuture. Origem: Nacional.;Poliglactina 910;Vicryl;PGLA30CR30G
228020MT-;POLYGLACTIN 910;SAS;POLYGLACTIN VIOL. 2-0 70CM MC17;Urologia;;;;;2-0;70 cm;1/2 Círculo Cilíndrica - 1,7cm;Círculo  Cilíndrico;MC17;1/2;1,7cm;36;;80052020050;Fio de sutura cirúrgica Polyglactin 910 violeta composto por Poliglactina 910 Multifilamentar com cobertura de Poliglactina 370 e Estearato de cálcio, de diâmetro USP 2-0 com 70 cm de comprimento, com agulha MC17 de curvatura 1/2 Círculo  Cilíndrico 1,7cm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020050 Código/modelo:228020MT- Fabricante: Polysuture. Origem: Nacional.;Poliglactina 910;Vicryl;
